1860–69,1870–79,1880–89,1890–99,1900–09,1910–19,1920–29
Maria,Maria,Anna,Anna,Anna,Anna,Anna
Anna,Anna,Maria,Ida,Mart­ta,Aili,Aino
Ida,Ida,Ida,Hilma,Hilja,Aino,Aune
Aman­da,Aman­da,Hilda,Maria,Tyyne,Tyyne,Kert­tu
Vil­hel­mii­na,Hilma,Hilma,Hilda,Aino,Aune,Aili
Hilda,Hilda,Olga,Hilja,Helmi,Helmi,Eila
Jo­han­na,Olga,Aman­da,Olga,Aili,Mart­ta,Hilk­ka
Ma­til­da,Iida,Iida,Aino,Hilma,Hilja,Helvi
Hilma,Ma­til­da,Alma,Iida,Ida,Kert­tu,Sirk­ka
Edla,Jo­han­na,Selma,Lempi,Lempi,Helvi,Eeva
Eeva,Vil­hel­mii­na,Hilja,Helmi,Elsa,Lempi,Toini
Sofia,Alma,Aina,Mart­ta,Maria,Vieno,Helmi
He­le­na,Edla,Aino,Elsa,Hilda,Elsa,Irja
Emma,Emma,Jo­han­na,Alma,Olga,Toini,Mart­ta
Iida,Aina,Ma­til­da,Selma,Aune,Sylvi,Tyyne
Olga,Eeva,Hulda,Aina,Elli,Irja,Rauha
Liisa,Alek­sand­ra,Emma,Tyyne,Iida,Rauha,Taimi
Alek­sand­ra,He­le­na,Fanny,Fanny,Alma,Taimi,Vieno
Kaisa,Kaisa,Edla,Saima,Saima,Elli,Elsa
Eva,Selma,Eeva,Lydia,Ester,Hilma,Maire
Emi­lia,Emi­lia,He­le­na,Hanna,Kert­tu,Lyyli,Hilja
Sanna,Liisa,Vil­hel­mii­na,Jenny,Jenny,Eeva,Lempi
Alma,Sofia,Kaisa,Aman­da,Aina,Saimi,Sylvi
Erika,Hulda,Lydia,Hulda,Lyyli,Laina,Elli
Miina,Sanna,Elin,Emma,Katri,Anni,Anni
Ka­ro­lii­na,Alina,Elsa,Anni,Saimi,Hilk­ka,Alli
Ama­lia,Katri,Hanna,Ester,Siiri,Siiri,Anja
Katri,Miina,Alek­sand­ra,Jo­han­na,Hanna,Elma,Kirs­ti
Selma,Fanny,Alina,Lyyli,Selma,Impi,Tert­tu
Maija,Ama­lia,Liisa,Lyy­dia,Anni,Jenny,Liisa
Kus­taa­va,Eva,Katri,Eeva,Fanny,Katri,Elma
Anni,Aino,Miina,Katri,Impi,Maria,Irma
Hulda,Lydia,Emi­lia,Elin,Eeva,Saima,Laina
Leena,Elin,Helmi,Ma­til­da,Sylvi,Ida,Elvi
Jo­se­fii­na,Hanna,Lyy­dia,He­le­na,Alli,Sirk­ka,Saara
,Ka­ro­lii­na,Sofia,Elli,Ellen,Hilda,Katri
,Anni,Anni,Edla,Rauha,Alli,Saimi
,Lyy­dia,Tilda,Kaisa,Toini,Bert­ta,Siiri
,Augus­ta,Lempi,Edit,Lydia,Ester,Meeri
,Elsa,Eva,Siiri,Vieno,Lahja,Lahja
,Maija,Sanna,Impi,Laina,Olga,Hilma
,Su­san­na,Alii­na,Signe,Helvi,Elvi,Maija
,Leena,Ama­lia,Ellen,Elna,Hanna,Helli
,Riit­ta,Jenny,Alina,Taimi,Maire,Lyyli
