1860–69,1870–79,1880–89,1890–99,1900–09,1910–19,1920–29
Maria,Maria,Maria,Maria,Maria,Maria,Maria
Sofia,Sofia,Sofia,Sofia,Sofia,He­le­na,An­nik­ki
Liisa,Ma­til­da,Ma­til­da,Ma­til­da,Jo­han­na,Sofia,Kyl­lik­ki
Ma­til­da,Liisa,Jo­han­na,Jo­han­na,Eli­sa­bet,Eli­sa­bet,Liisa
Lo­vi­sa,Jo­han­na,Emi­lia,Emi­lia,Ma­til­da,Jo­han­na,Mar­jat­ta
Jo­han­na,Emi­lia,Liisa,Alek­sand­ra,Alek­sand­ra,Kyl­lik­ki,He­le­na
Stii­na,Kaisa,Aman­da,Eli­sa­bet,Emi­lia,An­nik­ki,Kaa­ri­na
Lo­vii­sa,Lo­vi­sa,Alek­sand­ra,Vil­hel­mi­na,He­le­na,Ester,Eli­sa­bet
Kaisa,Stii­na,Vil­hel­mi­na,Vil­hel­mii­na,Irene,Es­te­ri,In­ke­ri
Emi­lia,Lo­vii­sa,Alina,Aman­da,Aman­da,Elina,Jo­han­na
,Aman­da,Lydia,Lydia,Elina,Liisa,Mir­jam
,Alina,Vil­hel­mii­na,Alina,Lydia,Kaa­ri­na,Sofia
,Jo­se­fi­na,Jo­se­fi­na,Irene,Ester,Mir­jam,Es­te­ri
,Kus­taa­va,Jo­se­fii­na,Elina,Vil­hel­mii­na,Emi­lia,Tel­ler­vo
,Ka­ro­lii­na,Lo­vii­sa,Jo­se­fii­na,Alina,Irene,Or­vok­ki
,He­le­na,Lyy­dia,Lyy­dia,Ka­ta­rii­na,Lin­nea,Elina
,Augus­ta,Lo­vi­sa,Ka­ta­rii­na,Siviä,Ma­til­da,Lin­nea
,Lydia,Kaisa,Alii­na,Es­te­ri,Siviä,Anna
,Elina,Eli­sa­bet,He­le­na,Lyy­dia,Alek­sand­ra,Tuu­lik­ki
,Lyy­dia,Kus­taa­va,Liisa,Vil­hel­mi­na,Syl­via,Ester
,Leena,He­le­na,Jo­se­fi­na,Dag­mar,In­ke­ri,Irene
,Alii­na,Ka­ro­lii­na,Augus­ta,Alii­na,Aman­da,Emi­lia
,Jo­se­fii­na,Alii­na,Elii­na,El­vii­ra,Elii­na,Sa­nel­ma
,Ka­ro­li­na,Stii­na,El­vii­ra,Elii­na,Tel­ler­vo,Ilona
,Eli­sa­bet,Irene,Ka­ro­lii­na,Katri,Mar­jat­ta,Ma­til­da
,Erika,Elina,Katri,Jo­se­fii­na,Alina,Syl­via
,Gus­ta­va,Augus­ta,Dag­mar,Eli­sa­beth,Or­vok­ki,Ka­ta­rii­na
