1860–69,1870–79,1880–89,1890–99,1900–09,1910–19,1920–29
Juho,Juho,Juho,Juho,Eino,Eino,Veik­ko
Kalle,Kalle,Kalle,Kalle,Väinö,Toivo,Eino
Matti,Matti,Matti,Matti,Toivo,Väinö,Erkki
Johan,Antti,Antti,Väinö,Juho,Veik­ko,Toivo
Antti,Johan,Johan,Antti,Kalle,Tauno,Pent­ti
Heik­ki,Heik­ki,Otto,Otto,Lauri,Lauri,Väinö
Karl,Frans,Frans,Johan,Yrjö,Viljo,Mart­ti
Frans,Karl,Heik­ki,Frans,Vilho,Reino,Lauri
Kus­taa,Kus­taa,Karl,Emil,Matti,Vilho,Reino
Pekka,Otto,Kus­taa,Karl,Aarne,Erkki,Matti
August,Pekka,August,Jo­han­nes,Otto,Arvo,Tauno
Otto,August,Jo­han­nes,Yrjö,Paavo,Mart­ti,Viljo
Mikko,Jaak­ko,Emil,Toivo,Antti,Aarne,Vilho
Jaak­ko,Vih­to­ri,Pekka,Lauri,Arvo,Onni,Kauko
,Jo­han­nes,Jaak­ko,Heik­ki,Jo­han­nes,Matti,Paavo
,Taa­vet­ti,Väinö,Eino,Mart­ti,Yrjö,Arvo
,Her­man,Oskar,Kus­taa,Viljo,Paavo,Heik­ki
,Emil,Vih­to­ri,August,Uuno,Kalle,Yrjö
,Mikko,Mikko,Vilho,Emil,Sulo,Eero
,Os­ka­ri,Taa­vet­ti,Jaak­ko,Heik­ki,Uuno,Olavi
,Ville,Kaar­lo,Pekka,Kaar­lo,Antti,Aarne
,Paavo,Os­ka­ri,Kaar­lo,Onni,Niilo,Onni
,Kaar­le,Her­man,Paavo,Frans,Heik­ki,Antti
,Kaar­lo,Jal­ma­ri,Oskar,Johan,Eero,Kaar­lo
,Aukus­ti,Paavo,Vih­to­ri,Karl,Kaar­lo,Niilo
,Oskar,Anton,Jal­ma­ri,Veik­ko,Olavi,Jaak­ko
,Anton,Vik­tor,Mikko,Niilo,Juho,Esko
,Tuo­mas,Ed­vard,Aarne,Jaak­ko,Jaak­ko,Pauli
,Vik­tor,Ville,Niilo,Erkki,Armas,Sulo
,An­ders,Aukus­ti,Arvo,Sulo,Otto,Kalle
,Olli,Kaar­le,Ed­vard,Armas,Pent­ti,Unto
,Erik,Tuo­mas,Onni,Eero,Kauko,Oiva
,Erkki,Eemil,Hugo,Tauno,Oiva,Leo
,Ed­vard,Toivo,Taa­vet­ti,Arvi,Jo­han­nes,Arvi
,Ju­ha­na,Lauri,Vik­tor,Reino,Arvi,Uuno
,Alek­san­te­ri,Yrjö,Armas,Kus­taa,Urho,Aimo
,Vil­helm,Vil­helm,Anton,Urho,Karl,Urho
,Fred­rik,Alek­san­te­ri,Eemil,Jal­ma­ri,Pauli,Armas
,Eemil,Erik,Uuno,Einar,Leo,Karl
,Albin,Alek­san­der,Her­man,Pekka,Unto,Otto
,Nes­to­ri,An­ders,Urho,Hugo,Frans,Juho
,Hen­rik,Albin,Kaar­le,Mikko,Johan,Pekka
,Juha,Nes­tor,Os­ka­ri,Oskar,Il­ma­ri,Jo­han­nes
,Joo­sep­pi,Olli,Ville,August,Erik,Alpo
,Simo,Ju­ha­na,Mart­ti,Eemil,Esko,Mikko
,Iisak­ki,Gus­taf,Aukus­ti,Il­ma­ri,Aimo,Mauno
,Elias,Erkki,Sulo,Arvid,Emil,Ahti
,Alek­san­der,Vilho,Einar,Erik,Pekka,Aaro
,Gus­taf,Pet­ter,Erkki,Vih­to­ri,Mauno,Erik
,Isak,Onni,Viljo,Aaro,Aaro,Ka­le­vi
,Pet­ter,Elias,Nes­tor,Ville,Mikko,Osmo
,Lauri,Hugo,Tuo­mas,Ed­vard,Hugo,Mauri
,Alek­si,Alf­red,Arvid,Kaar­le,Kaino,Risto
,Ro­bert,Iisak­ki,Albin,Oiva,Vieno,Il­ma­ri
,Alf­red,Ak­se­li,Arvi,Pauli,Ahti,Keijo
,Nes­tor,Simo,Alek­san­der,Vik­tor,Einar,Jorma
,Ni­ko­lai,Evert,Iiva­ri,Gun­nar,Osmo,Nils
,Gus­tav,Fred­rik,Erik,Os­ka­ri,Gun­nar,Johan
,Ta­ne­li,Axel,Evert,Her­man,Sven,Heimo
,Joo­nas,Al­bert,Vil­helm,Aukus­ti,Risto,Tais­to
