1860–69,1870–79,1880–89,1890–99,1900–09,1910–19,1920–29
Kus­taa,Kus­taa,Vil­helm,Jo­han­nes,Jo­han­nes,Jo­han­nes,Jo­han­nes
Vih­to­ri,Vih­to­ri,Emil,Vil­helm,Il­ma­ri,Olavi,Olavi
,Emil,Ed­vard,Emil,Armas,Il­ma­ri,Il­ma­ri
,Vil­helm,Vih­to­ri,Ed­vard,Ed­vard,Armas,Armas
,Juho,Jo­han­nes,Jal­ma­ri,Vil­helm,Ka­ler­vo,Ka­ler­vo
,Os­ka­ri,Jal­ma­ri,Ni­ko­lai,Emil,Hen­rik,An­te­ro
,Heik­ki,Heik­ki,Vih­to­ri,Jal­ma­ri,Jal­ma­ri,Ensio
,August,Juho,Il­ma­ri,Hen­rik,An­te­ro,Ma­tias
,Ed­vard,Kus­taa,August,Ni­ko­lai,Ma­tias,Ka­le­vi
,Fred­rik,August,Heik­ki,Olavi,Mi­kael,Mi­kael
,Vik­tor,Os­ka­ri,Arvid,Vih­to­ri,Vil­helm,Hen­rik
,Johan,Fred­rik,Alek­san­der,August,Ensio,Val­de­mar
,Alf­red,Oskar,Hen­rik,Val­de­mar,Ed­vard,Jal­ma­ri
,Oskar,Alf­red,Juho,Arvid,Emil,Veik­ko
,Hen­rik,Arvid,Val­de­mar,Mi­kael,Val­de­mar,Ed­vard
,Pekka,Vik­tor,Kus­taa,Heik­ki,Vih­to­ri,Emil
,Adolf,Adolf,Fred­rik,Juho,Veik­ko,Sa­ka­ri
,Eemil,Hen­rik,Alf­red,Alek­san­der,August,Vil­helm
,Ville,Alek­san­der,Alek­san­te­ri,Os­ka­ri,Heik­ki,Erik
,Her­man,Ver­ner,Vil­jam,Alek­san­te­ri,Eina­ri,Jaak­ko
,Vilho,Johan,Os­ka­ri,Kus­taa,Os­ka­ri,Eina­ri
,Jaak­ko,Ni­ko­lai,Vik­tor,An­te­ro,Aukus­ti,Matti
,Arvid,Evert,Oskar,Ma­tias,Juho,Aukus­ti
,Evert,Val­de­mar,Armas,Eina­ri,Ni­ko­lai,Vih­to­ri
,Aukus­ti,Ville,Adolf,Ra­fael,Jaak­ko,Heik­ki
,Nes­tor,Vilho,Aukus­ti,Vil­jam,Alek­san­te­ri,Os­ka­ri
,Al­bert,Rik­hard,Vilho,Aukus­ti,Erik,Kus­taa
,Pet­ter,Her­man,Jaak­ko,Adolf,Kus­taa,Ju­ha­ni
,,Al­bert,Ver­ner,Fred­rik,Arvid,August
,,Fer­di­nand,Evert,Alf­red,Vil­jam,Tapio
,,Jaak­ko,Johan,Art­tu­ri,Ra­fael,Erkki
,,Aukus­ti,Rik­hard,Vilho,Matti,Gun­nar
,,Hjal­mar,Her­man,Einar,Einar,Juho
,,Eemil,Einar,Jaak­ko,Vilho,Allan
,,Il­ma­ri,Mi­kael,Oskar,Her­man,Ra­fael
,,Alek­san­te­ri,Vil­liam,Her­man,Adolf,Aatos
,,Nes­tor,Art­tu­ri,Vik­tor,Alf­red,Alek­san­te­ri
,,Ju­ha­na,Al­bert,Evert,Art­tu­ri,Kul­ler­vo
,,Mi­kael,Valf­rid,Matti,Sa­ka­ri,Iisak­ki
,,Pekka,Eina­ri,Johan,Alek­san­der,Aulis
,,Vil­jam,Leo­nard,Erik,Erkki,Vilho
,,Jal­mar,Edvin,Valf­rid,Iisak­ki,Arvid
,,Pet­ter,Hjal­mar,Vil­liam,Al­bert,Art­tu­ri
,,An­selm,Ra­fael,Ver­ner,Kul­ler­vo,Al­bert
,,Leo­nard,Väinö,An­selm,Fred­rik,Vil­jam
,,Väinö,Pet­ter,Rik­hard,Oskar,Adolf
,,Ro­bert,Ale­xan­der,Eemil,Eemil,Kaar­lo
,,Ju­honp,Fer­di­nand,Leo­nard,Evert,Ni­ko­lai
,,Ale­xan­der,An­selm,Veik­ko,Johan,Elias
,,Nes­to­ri,Eemil,Eeme­li,Gun­nar,Eeme­li
,,Kons­tan­tin,Ville,Al­bert,Tapio,Pel­ler­vo
,,Edvin,Ju­honp,Gun­nar,Elias,Antti
,,Iiva­ri,Jal­mar,Albin,Rik­hard,Her­man
,,Vil­liam,Bern­hard,Iiva­ri,Ka­le­vi,Alf­red
,,Armas,Ju­ha­na,Pet­ter,Eeme­li,Einar
,,Valf­rid,Ru­dolf,Ala­rik,Ala­rik,Johan
,,Eeme­li,Iiva­ri,Erkki,Edvin,Ala­rik
,,Bern­hard,Ala­rik,Edvin,Len­nart,Eemil
,,Teo­dor,Eeme­li,Ensio,Allan,Hen­rik­ki
,,Art­tu­ri,Ma­tias,Alek­si,Val­ter,Uole­vi
,,Er­land,Erik,Fer­di­nand,Viljo,Rik­hard
,,Rein­hold,Nes­tor,Ka­ler­vo,Kaar­lo,Elis
,,Albin,Ak­se­li,Ak­se­li,Ak­se­li,Fred­rik
,,Erkki,Matti,Ru­dolf,Albin,Evert
,,Anton,Albin,Iisak­ki,Ver­ner,Väinö
,,Ala­rik,Ro­bert,Ale­xan­der,An­selm,Edvin
,,Erik,Pekka,Ju­ha­na,Aulis,Paa­va­li
,,Ma­tinp,Teo­dor,Sa­ka­ri,Vik­tor,Ta­pa­ni
,,Ru­dolf,Lauri,Elias,Pet­ter,Vil­ja­mi
,,Gus­taf,Er­land,Eino,Iiva­ri,Eelis
,,Ivar,Vil­ja­mi,Bern­hard,Vil­ja­mi,Alvar
,,Ak­se­li,An­te­ro,Vil­ja­mi,Ju­ha­ni,Sa­muel
,,Einar,Iisak­ki,Hjal­mar,Alvar,Ak­se­li
,,Fa­bian,Anton,Nes­tor,Antti,Oskar
,,Lean­der,Alek­si,Viljo,Eino,Alek­san­der
,,An­tinp,Ma­tinp,Ha­rald,Aatos,Lauri
,,Ju­lius,Ivar,Lauri,Os­vald,Ver­ner
,,Aksel,Lean­der,Ju­honp,Hen­rik­ki,Val­ter
,,Fri­dolf,Aksel,Arvi,Valf­rid,Iiva­ri
,,Eina­ri,An­tinp,Väinö,Pel­ler­vo,Sa­mu­li
,,Ra­fael,Ju­lius,Jal­mar,Alek­si,An­selm
,,Gab­riel,Toivo,Yrjö,Väinö,Os­sian
,,Axel,Yrjö,Val­ter,Ju­honp,Toivo
,,Antti,Kons­tan­tin,Gab­riel,Aarne,Aarne
,,Ma­tias,Nes­to­ri,Nes­to­ri,Vil­liam,Len­nart
,,Wil­helm,Gab­riel,Pekka,Jal­mar,Viljo
,,Artur,Erkki,Ville,Paa­va­li,Pet­ter
,,Len­nart,Eino,Ro­bert,Elis,Yrjö
,,Taa­vet­ti,Rein­hold,Teo­dor,Bern­hard,Eino
,,Toivo,Ha­rald,Er­land,Leo­nard,Päi­viö
,,Ema­nuel,Gun­nar,Aarne,Pie­ta­ri,Tuo­mas
,,An­ders,Len­nart,Anton,Tuo­mas,Arvi
,,Kon­rad,Elias,Antti,Lauri,Albin
,,Matti,Fe­liks,Len­nart,Pekka,Vik­tor
,,Fri­tiof,Arvi,Elis,Gab­riel,Taa­vet­ti
,,Ric­hard,Sigf­rid,Sa­muel,Sa­muel,Pekka
,,Val­ter,Antti,Ma­tinp,Arvi,Anton
,,Selim,Va­len­tin,Sigf­rid,Eelis,Pie­ta­ri
,,Arvi,Taa­vet­ti,Allan,Nes­tor,Mart­ti
,,Iisak­ki,Fa­bian,Toivo,Mart­ti,Bern­hard
