1870–79,1880–89,1890–99,1900–09,1910–19,1920–29
Juho Kustaa,Juho Heikki,Juho Heikki,Eino Johan­nes,Toivo Johan­nes,Eino Johan­nes
Juho Heikki,Juho Kustaa,Väinö Johan­nes,Toivo Johan­nes,Eino Johan­nes,Toivo Johan­nes
Juho Vihtori,Juho Vihtori,Juho Emil,Väinö Johan­nes,Väinö Johan­nes,Erkki Olavi
Kalle Kustaa,Kalle Vihtori,Lauri Johan­nes,Lauri Johan­nes,Veikko Olavi,Veikko Johan­nes
Kalle Vihtori,Juho Emil,Juho Kustaa,Arvo Johan­nes,Lauri Johan­nes,Erkki Johan­nes
Juho Oskari,Kalle Kustaa,Toivo Johan­nes,Yrjö Johan­nes,Veikko Johan­nes,Veikko Olavi
Antti Juho,Antti Juho,Juho Vihtori,Aarne Johan­nes,Eino Olavi,Eino Olavi
Juho H,Johan Emil,Kalle Vihtori,Eino Ilmari,Eino Ilmari,Reino Olavi
Karl Johan,Juho Jaakko,Kalle Jalmari,Väinö Ilmari,Reino Johan­nes,Väinö Johan­nes
Juho Pekka,Otto Vilhelm,Juho Jaakko,Vilho Johan­nes,Tauno Johan­nes,Pentti Johan­nes
Juho Jaakko,Juho Jalmari,Otto Vilhelm,Toivo Armas,Erkki Olavi,Martti Johan­nes
Kustaa A,Juho Edvard,Kalle Kustaa,Paavo Johan­nes,Vilho Johan­nes,Martti Olavi
Kalle Oskari,Juho Oskari,Johan Emil,Martti Johan­nes,Erkki Johan­nes,Lauri Johan­nes
Kalle V,Kustaa Adolf,Juho Edvard,Juho Heikki,Toivo Armas,Pentti Olavi
Kustaa V,Frans Oskar,Antti Juho,Toivo Ilmari,Reino Olavi,Reino Johan­nes
Juho A,Kalle Jalmari,Juho Jalmari,Kaarlo Johan­nes,Veikko Armas,Viljo Johan­nes
,Kalle Oskari,Kalle Johan­nes,Kalle Johan­nes,Martti Johan­nes,Veikko Ilmari
,Frans Vihtori,Kustaa Adolf,Erkki Johan­nes,Arvo Johan­nes,Vilho Johan­nes
,Juho Pekka,Yrjö Johan­nes,Niilo Johan­nes,Aarne Johan­nes,Väinö Olavi
,Karl August,Frans Emil,Eino Armas,Sulo Armas,Tauno Johan­nes
,Frans Emil,Frans Oskar,Kalle Vihtori,Veikko Ilmari,Arvo Johan­nes
,Kalle Juho,Eino Johan­nes,Kalle Kustaa,Viljo Johan­nes,Veikko Armas
,Kalle Heikki,Kalle Emil,Eino Edvard,Toivo Ilmari,Paavo Johan­nes
,Johan Edvard,Karl August,Uuno Johan­nes,Eino Armas,Matti Johan­nes
,Karl Oskar,Väinö Ilmari,Veikko Johan­nes,Tauno Olavi,Lauri Olavi
,Karl Johan,Kalle Heikki,Eero Johan­nes,Paavo Johan­nes,Toivo Olavi
,Juho Petter,Karl Emil,Väinö Armas,Väinö Olavi,Kauko Olavi
,Frans Vilhelm,Frans Vihtori,Kustaa Adolf,Väinö Ilmari,Kauko Kalervo
,Juho Fredrik,Otto Ville,Viljo Johan­nes,Martti Olavi,Olavi Johan­nes
,Karl Viktor,Arvo Johan­nes,Väinö Henrik,Lauri Olavi,Tauno Olavi
,Kalle Emil,Kalle Oskari,Toivo Jalmari,Toivo Olavi,Toivo Armas
,Heikki Juho,Johan Edvard,Väinö Jalmari,Onni Olavi,Viljo Olavi
,Otto Ville,Emil Arvid,,Väinö Armas,Väinö Ilmari
,Juho Oskar,,,Niilo Johan­nes,Aarne Johan­nes
,Juho Erkki,,,Viljo Olavi,
,Karl Emil,,,Tauno Ilmari,
,Johan Viktor,,,Eero Johan­nes,
,Juho August,,,Onni Armas,
,Juho Henrik,,,Aarne Olavi,
,Juho Alfred,,,Olavi Johan­nes,
