1860–69,1870–79,1880–89,1890–99,1900–09,1910–19,1920–29
Ida Maria,Ida Maria,Ida Maria,Anna Maria,Tyyne Maria,Tyyne Maria,Anna Liisa
Anna Maria,Anna Maria,Hilda Maria,Ida Maria,Helmi Maria,Anna Liisa,
Maria Sofia,Hilda Maria,Anna Maria,Hilda Maria,Hilja Maria,Aili Maria,
Maria V,Olga Maria,Hilma Maria,Hilja Maria,Ida Maria,Helmi Maria,
Anna Sofia,Anna Sofia,Olga Maria,Hilma Maria,Anna Maria,Aino Maria,
Anna Liisa,Maria Sofia,Iida Maria,Olga Maria,Hilda Maria,Elsa Maria,
,Maria V,Anna Sofia,Iida Maria,Lempi Maria,Hilja Maria,
,Hilma Maria,Hilja Maria,Lempi Maria,Hilma Maria,Aune Maria,
,Iida Maria,Maria Sofia,Tyyne Maria,Olga Maria,Anna Maria,
,Maria A,Anna Liisa,Elsa Maria,Elsa Maria,Lempi Maria,
,Ida Sofia,Hulda Maria,Helmi Maria,Martta Maria,,
,Anna Liisa,Aina Maria,Anna Sofia,Aili Maria,,
,Maria K,Ida Sofia,Aino Maria,Aino Maria,,
,Anna Kaisa,Edla Maria,Fanny Maria,Iida Maria,,
,Edla Maria,Selma Maria,Martta Maria,Elli Maria,,
,Maria J,Hilda Sofia,Selma Maria,Jenny Maria,,
,Amanda V,Hilma Sofia,Jenny Maria,Anna Sofia,,
,Amanda K,Alma Maria,Anna Liisa,Aina Maria,,
,Anna K,Fanny Maria,Aina Maria,,,
,Maria Matilda,Aino Maria,Hilma Sofia,,,
,Amanda J,Anna Kaisa,Ida Sofia,,,
,Ida V,Anna Matilda,Anna Lydia,,,
,Hilma K,Ida Johan­na,Saima Maria,,,
,Maria E,Emma Maria,Hilda Sofia,,,
,Amanda A,Maria Matilda,Hulda Maria,,,
,Hilda Sofia,Maria V,Alma Maria,,,
,Hilda K,Elsa Maria,Maria Sofia,,,
,Amanda Maria,Maria A,Edla Maria,,,
,Hilda M,Maria J,Lydia Maria,,,
,Aina Maria,Hilda M,Ida Johan­na,,,
,Maria L,Eeva Maria,Anna Lyydia,,,
,Alma Maria,Lempi Maria,Elin Maria,,,
,Hilma Sofia,Anna Leena,Anna Matilda,,,
,Amanda Sofia,Amanda V,Anna Alina,,,
,Matilda V,Anna Johan­na,Elli Maria,,,
,Hulda Maria,Maria Liisa,,,,
,Maria S,Elin Maria,,,,
,Emma Maria,Anna Alina,,,,
,Anna Matilda,Helmi Maria,,,,
,Anna Loviisa,Hilma K,,,,
,Maria M,,,,,
